rank,grade,channelName,videoUploads,subscribers,videoViews
359th,A ,Você Sabia?,599,15494356,1605548778
360th,A ,Barcroft TV,2133,5303195,4163257751
361st,A ,DisneyMusicVEVO,714,11055805,6910079660
362nd,A ,Martin Garrix,90,10432036,2856357178
363rd,A ,Ali-A,2914,14847336,3890903315
364th,A ,Nickelodeon,2856,4493420,2664911984
365th,A ,MBC مصر,7783,4762083,2868206239
366th,A ,rezendeevil,6515,19251064,6724579643
367th,A ,TimKo Kid,230,1985005,671623629
368th,A ,Wiz Khalifa,441,16079571,7977828657
369th,A ,shfa,328,2009235,636233141
370th,A ,ABS-CBN News,80773,4545223,3420909679
371st,A ,RizaNovaUZ,8749,2220541,2254176139
372nd,A ,Super Polina,253,3017957,730924615
373rd,A ,infobells - Telugu,168,4290854,2352013080
374th,A ,Bruno Mars,66,22429704,9585784755
375th,A ,Atlantic Records,1051,8372200,7657631499
376th,A ,Kinder Spielzeug Kanal,413,1125064,549165956
377th,A ,خليجية,12492,3058938,1932816826
378th,A ,KN Channel,559,4172856,2133463422
379th,A ,BANGTANTV,876,11384073,1716165250
380th,A ,Chotoonz TV,1031,3886360,2653184170
381st,A ,Letupita725HD★,1824,1952190,2634818164
382nd,A ,Pina Records,314,8053378,4579379824
383rd,A ,El Blog del Narco,4449,-- ,70680037
384th,A ,Ultra Regional,3502,2775635,1733863531
385th,A ,Muselk,1232,6735667,1909329812
386th,A ,avex,9197,4184884,6194595714
387th,A ,The Late Late Show with James…,2798,16032156,4718424990
388th,A ,White Hill Music,2709,4990716,2003373411
389th,A ,Turma da Mônica,695,8831316,6994765647
390th,A ,Bad Bunny,11,12685253,2612504875
391st,A ,Like Nastya,214,9702841,2582895675
392nd,A ,apple kids,70,-- ,370257049
393rd,A ,DLS News,1579,-- ,514253195
394th,A ,Thơ Nguyễn,630,4808885,2489747155
395th,A ,Hasbro,8177,2646160,3506432060
396th,A ,prenses elif,4313,2450645,3597618217
397th,A ,ARY Digital,14632,4020969,2036985343
398th,A ,Dessin Animé pour Enfants,37,1313196,393630715
399th,A ,Telemundo,14718,5410907,3383609663
